query,company_name,job_title,job_location,linkedin_job_url,website_url,career_url,job_list_url,opening_url,result_status,pipeline_status,error,reason_code,external_apply_exact,provider_search_exact,website_career_exact,route_union_exact,manual_disposition,manual_notes
Cybersecurity Analyst,Sunbird Software,Cyber Security Analyst,"Sioux Falls, SD",https://www.linkedin.com/jobs/view/cyber-security-analyst-at-sunbird-software-4432015135,https://www.sunbirddcim.com/,https://www.sunbirddcim.com/careers,https://sunbirdsoftwareinc.applytojob.com/apply/,https://sunbirdsoftwareinc.applytojob.com/apply/RfBS8vS11O/Cyber-Security-Analyst,success,success,,,False,False,True,True,,
Cybersecurity Analyst,IGNITE,CYBER SECURITY ANALYST,"Huntsville, AL",https://www.linkedin.com/jobs/view/cyber-security-analyst-at-ignite-4441163690,https://ignite.com,https://ignite.com/careers,https://jobs.ashbyhq.com/allinbits,,success,partial,,NO_PUBLIC_OPENINGS,False,False,False,False,,
Cybersecurity Analyst,"Nisga'a Tek, LLC",Defense Cyber Analyst,"Honolulu, HI",https://www.linkedin.com/jobs/view/defense-cyber-analyst-at-nisga-a-tek-llc-4409058516,https://www.nisgaatek.com/,,,,partial,failed,career_page_not_found,CAREER_PAGE_NOT_FOUND,False,False,False,False,,
Cybersecurity Analyst,Hawaiian Electric,Cyber Operations Analyst - Oahu,"Hawaii, United States",https://www.linkedin.com/jobs/view/cyber-operations-analyst-oahu-at-hawaiian-electric-4416993271,https://www.hawaiianelectric.com,,,,partial,failed,career_page_not_found,CAREER_PAGE_NOT_FOUND,False,False,False,False,,
Cybersecurity Analyst,Target Hospitality,Security Analyst,"The Woodlands, TX",https://www.linkedin.com/jobs/view/security-analyst-at-target-hospitality-4437076185,https://www.targethospitality.com/,https://www.targethospitality.com/about-us/careers/,https://recruiting2.ultipro.com/TAR1004TARG/JobBoard/bae0b5b6-65ef-4503-b57a-b9283744bca8/,,partial,failed,,RESULT_IDENTITY_MISMATCH,False,False,False,False,,
Cybersecurity Analyst,Mayo Clinic,Information Security Analyst - IS-Mod,"Rochester, MN",https://www.linkedin.com/jobs/view/information-security-analyst-is-mod-at-mayo-clinic-4442117657,https://www.mayoclinic.org,https://careers.mayoclinic.org/careers,,,partial,failed,,RESULT_IDENTITY_MISMATCH,False,False,False,False,,
Cybersecurity Analyst,Sentar Inc.,Exploitation Analyst (EA): Level 1-4,"Mahinahina Camp, HI",https://www.linkedin.com/jobs/view/exploitation-analyst-ea-level-1-4-at-sentar-inc-4435796041,https://www.sentar.com,https://www.sentar.com/jobs,https://www.sentar.com/jobs,,success,partial,,NETWORK_TIMEOUT,False,False,False,False,,
Cybersecurity Analyst,Benefis Health System,"Vulnerability Analyst, Information Technology Services (Exempt)","Great Falls, MT",https://www.linkedin.com/jobs/view/vulnerability-analyst-information-technology-services-exempt-at-benefis-health-system-4432838078,https://www.benefis.org,,,,partial,failed,career_page_not_found,CAREER_PAGE_NOT_FOUND,False,False,False,False,,
Cybersecurity Analyst,Diamondback Energy,Cybersecurity Analyst,"Oklahoma City, OK",https://www.linkedin.com/jobs/view/cybersecurity-analyst-at-diamondback-energy-4432462031,https://www.diamondbackenergy.com,,,,partial,failed,career_page_not_found,CAREER_PAGE_NOT_FOUND,False,False,False,False,,
Cybersecurity Analyst,"Cretex Companies, Inc.",IT Cyber Security Risk Analyst,"Elk River, MN",https://www.linkedin.com/jobs/view/it-cyber-security-risk-analyst-at-cretex-companies-inc-4439832665,,,,,failed,failed,fetch_failed,NETWORK_TIMEOUT,False,False,False,False,,
Cybersecurity Analyst,Hawaiian Electric,Information Assurance Analyst - Oahu,"Hawaii, United States",https://www.linkedin.com/jobs/view/information-assurance-analyst-oahu-at-hawaiian-electric-4438885728,https://www.hawaiianelectric.com,,,,partial,failed,career_page_not_found,CAREER_PAGE_NOT_FOUND,False,False,False,False,,
Cybersecurity Analyst,FOTOMILL STUDIOS LIMITED,Computer Network Defense Analyst,"Wahiawa, HI",https://www.linkedin.com/jobs/view/computer-network-defense-analyst-at-fotomill-studios-limited-4370885298,https://fotomillstudios.com,,,,partial,failed,career_page_not_found,CAREER_PAGE_NOT_FOUND,False,False,False,False,,
Cybersecurity Analyst,PACS,Security Analyst,"Salt Lake City, UT",https://www.linkedin.com/jobs/view/security-analyst-at-pacs-4441642099,https://pacs.com/,https://pacs.com/jobs/,https://pacs.wd108.myworkdayjobs.com/pacs,https://pacs.wd108.myworkdayjobs.com/pacs/job/PACS/Security-Analyst_JR157273,success,success,,,False,False,True,True,,
